project_name,pub_time,ai_project_title,requirement_brief,requirement_desc,deadline,company_name,contact_name,contact_phone,province,city,budget,announcement_url,location_text
山东省公共卫生临床中心重大公共卫生服务设备,2026-03-28T01:01+08:00,无相关要求,无相关要求,无相关要求,2026-04-21,山东省公共卫生临床中心(省胸科医院、济南市传染病医院),程经理,0531-87528367,山东,济南市,9.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26329775.htm,中心三院区：蟠龙山院区（济南市港兴西路2999号）、鲍山院区（济南市烈士山路11、12号）、历山院区（济南市历山路46号）
山东省2026年度山洪灾害监测预警平台数智化提升项目监理,2026-03-28T01:02+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,山东省水旱灾害防御中心,刘金凤,053182665985,山东,,10.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26329786.htm,空
临沂市人民医院医保智能审核系统采购项目,2026-03-28T01:02+08:00,无相关要求,无相关要求,无相关要求,2026-04-22,临沂市人民医院,吕建建,15615699963,山东,,100.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26329699.htm,暂时没有录入地址
济南市人民医院智慧服务提升项目,2026-03-28T00:59+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,济南市人民医院,山东汇泉建设项目管理有限公司,18463462969,山东,济南市,43.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26329659.htm,济南市莱芜区长勺北路雪湖大街1号
阿勒泰职业技术学院2026年现代职业教育质量提升计划项目-智能制造中心基础实训室,2026-03-28T11:59+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,阿勒泰职业技术学院,毛老师,0906-2195313,新疆,阿勒泰市,200.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26330022.htm,阿勒泰市迎宾路106号
复旦大学附属中山医院2026年人工智能全栈能力开发服务平台采购项目,2026-03-28T23:28+08:00,人工智能全栈能力开发服务平台建设,复旦大学附属中山医院旨在构建包含算力支撑、数据工程、模型开发、智能体构建及对外运营服务的全栈AI平台，以支持影像和多模态大模型研究开发，推进人工智能场景应用开发。,"【背景概述】
复旦大学附属中山医院深化建设人工智能全栈能力开发服务平台，涵盖算力支撑、数据工程、模型开发、智能体构建及对外运营服务等平台，可开展影像和多模态大模型的研究开发，基于语料及模型推进“人工智能+”场景应用开发。

AI需求点：
1、建设算力支撑平台，作为人工智能全栈能力开发服务平台的组成部分，提供基础算力资源。
2、建设数据工程平台，作为人工智能全栈能力开发服务平台的组成部分，支撑人工智能应用开发的数据处理需求。
3、建设模型开发平台，作为人工智能全栈能力开发服务平台的组成部分，支持开展影像、多模态大模型的研究开发。
4、建设智能体构建平台，作为人工智能全栈能力开发服务平台的组成部分，支撑基于语料及模型推进“人工智能+”场景应用开发。
5、建设对外运营服务平台，作为人工智能全栈能力开发服务平台的组成部分，实现人工智能服务的对外运营能力。",2026-04-20,复旦大学附属中山医院,陈洁、任荷芳,18918322133、18918322053,上海,上海市,313.00万元,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202603/t20260328_26331132.htm,上海市徐汇区枫林路180号
2026年萧山区社会治理中心指挥大厅基础信息化运维（含智能化设备维修）服务项目,2026-03-28T14:21+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,杭州市萧山区社会治理中心,俞斌,13735346021,浙江,,145.21万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26330171.htm,萧山区北干街道博学路837号
铜陵市公安局情指行一张图建设项目,2026-03-28T11:15+08:00,无相关要求,无相关要求,无相关要求,2026-04-20,铜陵市公安局,赵工,0562-5885882,安徽,铜陵市,120.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26329954.htm,铜陵市铜官区华山大道
5家市级医院数智病理（一期）子系统建设项目,2026-03-28T10:10+08:00,市级医院数智病理子系统建设,建设5家市级医院数智病理子系统，通过AI技术提升病理诊断智能化水平和诊疗协同效率，包括病理切片智能质控、AI辅助诊断、病理报告智能生成等，覆盖多种病理诊断场景。,"【背景概述】
以推动病理业务从传统模式向现代数智模式转型为导向，开展5家市级医院数智病理（一期）子系统项目建设，提升市级医院病理诊断智能化水平与病理诊疗协同效率。

1. 病理切片智能质控与评分系统。对病理扫描与制片过程进行智能质量控制，基于AI算法自动对切片进行质控评价和评分，支持扫描质量控制分析、制片质量控制分析、切片质量综合评估，允许手动调整评分。适用于上海市第六人民医院、瑞金医院、新华医院、肺科医院。

2. 胃部病理AI辅助诊断。对胃部病理图像进行智能分类与筛查、定量分析，并生成胃部病理图像分析结果供医生复核。适用于上海市第六人民医院。

3. 肠部病理AI辅助诊断。对肠部病理图像进行疾病智能分类与筛查、定量分析，自动生成肠部病理分析报告。适用于上海市第六人民医院。

4. 乳腺免疫组化AI定量分析。采用深度学习模型对乳腺肿瘤细胞进行高精度识别与分型分类，支持定量评估、特定区域（ROI）深度分析，自动生成包含免疫组化结果的详细病理报告。适用于上海市第六人民医院、瑞金医院、新华医院。

5. 淋巴结转移AI辅助诊断。实现淋巴结转移智能识别与分类，对转移癌灶进行精准检测与轮廓分割，统计癌灶数量并列表展示，提供癌灶最大径、面积等详细量化信息，允许医生对识别结果进行手动添加、删除或修改。适用于上海市第六人民医院、新华医院。

6. 前列腺组织AI辅助诊断。自动分析前列腺组织病理切片，精准识别癌细胞形态特征，自动输出格林森分级评分（包括Gleason评分、ISUP分级、肿瘤区域面积占比），生成病灶区域热力图。适用于上海市第六人民医院、瑞金医院、新华医院。

7. 膀胱组织AI辅助诊断。对膀胱组织病理图像进行良性/恶性分类提示，支持不少于三种异型类型（尿路上皮癌、高级别、低级别）智能判读，对病变组织进行勾画定位并列表显示，精准测量病变组织面积。适用于新华医院。

8. 肺癌PD-L1免疫组化AI分析。对肺癌PD-L1切片智能识别肿瘤细胞分布，精准定位肿瘤细胞并进行显色分类识别，自动判读TPS评分（全片阳性显色肿瘤细胞在全部肿瘤细胞中的占比），生成热力图。适用于上海市第六人民医院、新华医院。

9. 宫颈细胞学AI辅助诊断。对宫颈液基细胞进行阴阳性分类提示，支持病变细胞定位及分类（ASC-US、LSIL、ASC-H、HSIL），检测霉菌、线索细胞等微生物感染，自动生成TBS结果。适用于上海市第六人民医院、新华医院。

10. 胸腹水细胞学AI辅助诊断。快速智能筛选病理异常信息，精准定位识别异常细胞，进行胸腹水细胞结构化分析并输出规范化病理诊断报告。适用于肺科医院。

11. 早期肺癌组织病理AI辅助诊断。对整张病理图像进行智能分类，实现细胞检测与智能分割，自动生成早期肺癌AI结论供医生审核。适用于肺科医院。

12. 淋巴瘤AI辅助诊断。对淋巴组织进行智能识别与定位，诊断有无淋巴瘤，支持弥漫性大B细胞淋巴瘤、滤泡性淋巴瘤、经典性霍奇金淋巴瘤、边缘区淋巴瘤、血管免疫母细胞性T细胞淋巴瘤等亚型诊断。适用于瑞金医院。

13. 垂体神经内分泌肿瘤AI辅助诊断。对垂体组织进行智能识别与定位，诊断有无垂体神经内分泌肿瘤，支持PIT1谱系肿瘤、TPIT谱系肿瘤、SF1谱系肿瘤等亚型诊断。适用于瑞金医院。

14. 病理报告智能生成与质控。自动生成病理结构化报告，对报告术语、诊断用语、描述性语言进行规范化处理，具备自然语言理解与多模态关联分析能力识别关键要素并进行逻辑一致性判断，实现AI自动审核、多维度审核分析及风险预警。适用于上海市第六人民医院、新华医院、肺科医院。

15. 病理大模型训练与服务平台。提供病理大模型基础服务，包括模型训练服务、模型评测服务、模型管理服务，支持大规模病理预训练模型、自监督无标注预训练、多任务联合增量预训练、小样本快速微调、多任务迁移微调、模型压缩量化及训练效果评估。适用于新华医院、肺科医院、一妇婴保健院。

16. 病理AI模型性能评测。支持从准确率、召回率、F1值、ROC曲线等多维度对病理模型进行全面系统评测，支持自定义模型评测及模型上传对比，提供下游任务评测服务并支持评测结果可视化展示。适用于瑞金医院、肺科医院。

17. 病理数据智能治理与标准化标注。实现组织区域自动化辅助分割标注，支持多尺度一致标注及标注数据手动修改，自动记录标注行为日志，进行WSI图像质量检查（组织折叠、染色不均、模糊、伪影等），识别并脱敏敏感信息，验证数据有效性，实现切片染色标准化、格式转换及低质区域过滤。适用于一妇婴保健院、肺科医院。

18. 病理多模态数据智能检索。支持基于组织切片图像的以图搜图功能，实现数字病理图像与结构化报告语义融合检索，构建疑难病例病理特征嵌入向量库实现相似性检索，支持多分辨率统一对齐的切片图像特征编码跨尺度匹配。适用于新华医院、肺科医院、一妇婴保健院。

19. 病理报告智能解读。从病理报告中自动抽取关键病理名词、部位、分型、分级等实体及检验指标，对报告总体进行总结分析，判断指标值是否异常并形成解释解读，给出患者后续疾病风险分析，生成诊疗、饮食、运动、心理等辅助建议。适用于一妇婴保健院。

20. 病理AI服务智能调度。实现批量切片分析任务智能调度，基于异常阈值自动触发多模型协同调用，根据任务计算强度与节点负载自动分配算力资源，设置多模型冗余调度策略，动态调整模型调度队列优先级，对多模型输出结果进行一致性检测并标记差异进入人工复核。适用于一妇婴保健院。

21. CSP格式高性能处理与调阅。支持病理切片数字扫描仪直接输出CSP格式，实现CSP病理切片数据无损压缩（压缩率>=1.8:1，空间利用率提升45%），单瓦片请求响应速度在20毫秒以内（256*256 pixel），拖拽帧率大于60fps。适用于瑞金医院。

22. 病理知识智能问答。支持病理领域知识智能问答，统一管理对话式交流内容。适用于肺科医院。

23. 病理流程智能预警。在病理制片扫描过程中提供事中评估与预警，实时监测病理数据并智能感知异常及时预警，实现预警响应与审计联动机制。适用于上海市第六人民医院、新华医院、肺科医院。

24. 数字病理运营智能分析。提供病理平台用户数据、使用数据、计算数据、队列数据等的统计分析，支持扫描切片进度驾驶舱可视化、切片质控驾驶舱、病理阅片驾驶舱等数据监控与管理。适用于上海市第六人民医院、肺科医院。",2026-04-17,上海申康医院发展中心,解继涛,021-35968032,上海,,185.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26329874.htm,康定路2号
台州市黄岩区锦江小学建设工程智能化-LED屏及一体机等设备采购及安装项目,2026-03-28T09:47+08:00,无相关要求,无相关要求,无相关要求,2026-04-16,台州市黄岩区锦江小学,黄岩区政府采购中心（主账号）,0576-84051179,浙江,台州市,144.04万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26329846.htm,台州市黄岩区教善巷锦江小学
